question_id,type,question_intro,question_text,answer
119,Palabras,¿Qué significa la palabra...,Rulé,Ano
120,Palabras,¿Qué significa la palabra...,Clister,Utensilio que se mete en el ano para limpiarlo
121,Palabras,¿Qué significa la palabra...,Pilongo,"Persona con forma de anguila, alto y flaco"
122,Palabras,¿Qué significa la palabra...,Rijoso,Que se excita facilmente con la presencia de una hembra
123,Palabras,¿Qué significa la palabra...,Sacapotras,Un cirujano malo
124,Palabras,¿Qué significa la palabra...,Teobroma,Es la semilla del cacao
125,Palabras,¿Qué significa la palabra...,Turma,Testiculos de personas y animales
126,Palabras,¿Qué significa la palabra...,Vellera,Mujer que afeita el vello a otra
127,Palabras,¿Qué significa la palabra...,Venustez,Hermosura perfecta
128,Palabras,¿Qué significa la palabra...,Virago,Mujer muy varonil
129,Palabras,¿Qué significa la palabra...,Vulpino,Perteneciente a la zorra
130,Palabras,¿Qué significa la palabra...,Zaborra,Niña o mujer muy gorda
131,Palabras,¿Qué significa la palabra...,Zamujo,Persona de poco hablar
132,Palabras,¿Qué significa la palabra...,Ringorrango,Adorno extravagante
133,Palabras,¿Qué significa la palabra...,Rastacuero,Alguien inculto y adinerado
134,Palabras,¿Qué significa la palabra...,Mondonguera,Mujer muy gorda de movimientos pesados
135,Palabras,¿Qué significa la palabra...,Pelagatos,Persona pobre y mediocre
136,Palabras,¿Qué significa la palabra...,Pinchauvas,Pillo que utilizaba alfileres en mercados para robar comida
137,Palabras,¿Qué significa la palabra...,Casquivano,Persona que coquetea y tiene relaciones ocasionales
138,Palabras,¿Qué significa la palabra...,Iconoclasta,QUe niega y rechaza la autoridad de maestros
139,Palabras,¿Qué significa la palabra...,Meapilas,Persona que tiene una devoción religiosa excesiva e hipocrita
140,Palabras,¿Qué significa la palabra...,Corito,Alguien que no lleva ropa
141,Palabras,¿Qué significa la palabra...,Cuto,Persona a la que le falta un brazo
142,Palabras,¿Qué significa la palabra...,Crencha,Raya que divide el pelo en dos. (La raya al lado)
143,Palabras,¿Qué significa la palabra...,Coluvie,Grupo de gente perdida
144,Palabras,¿Qué significa la palabra...,Esguín ,Cria del salmon que aun no salió del rio al mar
145,Palabras,¿Qué significa la palabra...,Fautoría,Persona que favorece y excita a otra
146,Palabras,¿Qué significa la palabra...,Fiemo,Estiercol
147,Palabras,¿Qué significa la palabra...,Filibustero,Pirata que atacaba a los barcos en las americas
148,Palabras,¿Qué significa la palabra...,Filili,Trato con dedicadeza
149,Palabras,¿Qué significa la palabra...,Filipichin,Hombre demasiado fino que no se preocupaba por trabajar
150,Palabras,¿Qué significa la palabra...,Monda,Organo reproducto masculino
151,Palabras,¿Qué significa la palabra...,Guámaras,Fruta que provoca mal aliento y flatulencias
152,Palabras,¿Qué significa la palabra...,Itesiano,"Persona postmoderna, alternativa, responsable y activista"
153,Palabras,¿Qué significa la palabra...,Jipiar,Cantar con voz semejante a un gemido
154,Palabras,¿Qué significa la palabra...,Uebos,cosa muy necesaria
155,Palabras,¿Qué significa la palabra...,Barbián,"Desnvuelto gallardo, de caracter jovial"
156,Palabras,¿Qué significa la palabra...,Sapenco,Caracol con rayas pardas transversales
157,Palabras,¿Qué significa la palabra...,Vagido,Es el llanto de un recién nacido
158,Palabras,¿Qué significa la palabra...,Burdégano,Cruce entre un caballo y un asno
159,Palabras,¿Qué significa la palabra...,Apapachar,Dar palmaditas cariñosas
160,Palabras,¿Qué significa la palabra...,Angurria,Cuando meas y te duele
161,Palabras,¿Qué significa la palabra...,Logorrea,Habla excesiva y compulsiva
162,Palabras,¿Qué significa la palabra...,Ápodo,Que no tiene pies
163,Palabras,¿Qué significa la palabra...,Cástor,Estrella principal de la constelación de Geminis
164,Palabras,¿Qué significa la palabra...,Bacante,Mujer que participa en Bacanales
165,Palabras,¿Qué significa la palabra...,Nefanda,"abominable, que causa repugnancia"
166,Palabras,¿Qué significa la palabra...,Núbil,Mujer en edad de casarse
167,Palabras,¿Qué significa la palabra...,Ñomblon,Persona muy gorda con buenas nalgas
168,Palabras,¿Qué significa la palabra...,Patibulario,Alguien con tan mal aspecto que produce horror
169,Palabras,¿Qué significa la palabra...,Abuhado,Persona con cara de buho
170,Palabras,¿Qué significa la palabra...,Selenofilia,Atracción desmedida por la luna
171,Palabras,¿Qué significa la palabra...,Jeme,Distancia entre la punta del pulgar y la del indice
172,Palabras,¿Qué significa la palabra...,Escosa,Mujer soltera de quien se sospechaba haber conocido varón.
173,Palabras,¿Qué significa la palabra...,Carapito,"Unidad de medida de vino, hoy serían 16 litros"
174,Palabras,¿Qué significa la palabra...,animálculo,"Animal muy pequeño, solo visible con Microscopio"
175,Palabras,¿Qué significa la palabra...,Ayear,Decir Ay de forma repedita por dolor o sufrimiento
176,Palabras,¿Qué significa la palabra...,pasagonzalo,Golpe pequeño dado generalmente en la nariz
177,Palabras,¿Qué significa la palabra...,pegotear,Ir a la casa de alguien a la hora de comer sin estar invitado
178,Palabras,¿Qué significa la palabra...,Samuelear,Intentar ver de forma furtiva los muslos o genitales de una mujer
179,Palabras,¿Qué significa la palabra...,Carabaña,Homosexual gracioso
180,Palabras,¿Qué significa la palabra...,Arrunchar,acurrucarse en días de frío y lluvia (completar)
181,Palabras,¿Qué significa la palabra...,Clinofilia,pasión por estar 24h en la cama
182,Palabras,¿Qué significa la palabra...,Basorexia,necesidad repentina de Besar a alguien 
183,Palabras,¿Qué significa la palabra...,Zarrastrajo,Insulto femenino superlativo: Significa puta y borracha
184,Palabras,¿Qué significa la palabra...,Crometofobia,Miedo extremo a gastarse el dinero
185,Palabras,¿Qué significa la palabra...,Penterafobia,Miedo desmedido a pasar tiempo junto a tu suegra
186,Palabras,¿Qué significa la palabra...,Coprofilia,Atracción fetichista por los excrementos
187,Palabras,¿Qué significa la palabra...,Filocaista,Persona que aprecia las pequeñas cosas
188,Palabras,¿Qué significa la palabra...,Funderelele,Utensilio con el que se extraen las bolas de los helados
189,Palabras,¿Qué significa la palabra...,Vinco,Alambre que se le pone a los hocicos de los cerdos para que se callen
190,Palabras,¿Qué significa la palabra...,Caracalla,Peinado que estuvo de moda en el siglo XVIII
191,Palabras,¿Qué significa la palabra...,Infibular,Colocar un obstaculo en los genitales para impedir el coito
192,Palabras,¿Qué significa la palabra...,Afrecharse,Cuando un animal se enferma por haber comido demasiado
193,Palabras,¿Qué significa la palabra...,hexakosioihexekontahexafobia,Miedo al numero 666
194,Palabras,¿Qué significa la palabra...,Arachibutirofobia,Miedo a que se te queden en el paladar alimentos pegajosos
195,Palabras,¿Qué significa la palabra...,Anatidaefobia,Miedo a que un pato de esté observando
196,Muertes,¿De que murió...,Louie Barker,Cayo mientras intentaba subir unas escaleras mecanicas que bajaban en una estación de tren.
197,Muertes,¿De que murió...,Betty Rogers,Cayo por un acantilado empujada por un rebaño de ovejas en Inglaterra
198,Muertes,¿De que murió...,Rylee Ferguson,Se montó en una avioneta borrachisimo y terminó estampandose contra el suelo
199,Muertes,¿De que murió...,Ryan Maloney,Se flipó haciendo un mate jugando al basket y se le cayó la canasta en la cabeza
200,Muertes,¿De que murió...,Ashlyn Logan,Fue atropellada por su hijo mientras le ayudaba a maniobrar.Eran de Wichita y el hijo tenía 10 años
201,Muertes,¿De que murió...,Aimee Edwards,Murio en un hospital de Nueva York despues de inyectarse cocaina en el pene
202,Muertes,¿De que murió...,Lotte Van Guedes,Fue decapitado en un autobus por sacar la cabeza por la ventana. Estaba cantando
203,Muertes,¿De que murió...,Marcelo Nuñes,Fue atropellado por un avión yendo en bicicleta por una pista de aterizaje. Iba con la musica a tope
204,Muertes,¿De que murió...,Maya Burns,"Exibicionista de San Francisco. Intentando enseñar los pechos a un conductor de tren, terminó siendo atropellada"
205,Muertes,¿De que murió...,David Riston,Fue asesinado por una de las 126 serpientes que tenía en su casa de Maryland
206,Muertes,¿De que murió...,Brandon Dilbert,Soldado americano que murió haciendo 'supermanning'. Colgarse de un avión con el pose de superman
207,Muertes,¿De que murió..., Tedzu,"Japones que transmitió como subia el monte Fuji a sus seguidores en redes, hasta que se resbalo por un precipicio"
208,Muertes,¿De que murió...,Wayne Roth,"Fue mordido por una serpiente venenosa y se fue al bar a contar la anecdota a los colegas. Tras 3 copas, murió por colapso"
209,Muertes,¿De que murió...,Garry Mcgil,"Era abogado e intentando demostrar la fortaleza de una ventana, se empotró contra una y cayo de un piso 20"
210,Muertes,¿De que murió...,Hugh Wilkerson,Le dió un infarto despues de atascarsele la cabeza en un sillon al intentar coger su movil
211,Muertes,¿De que murió...,Iorghu Ranutsky,Se encontró un proyectil en un campo de Rumanía. Se lo llevó a su casa y lo golpeó con un martillo
212,Muertes,¿De que murió...,Zaim Cosnan,"Intentó llevar a su casa en moto una pitón de 3.5 metros. A mitad de camino, la serpiente le estrangulo"
213,Muertes,¿De que murió...,G. Morris,Murió por la infección que le causó meterse un pelo de ballena dentro del pene
214,Muertes,¿De que murió...,Crisipo de Solos,Murio de un ataque de risa tras ver a un burro comerse unos higos
215,Muertes,¿De que murió...,Hans Steininger,Aleman que murió cuando se pillo la barba con una puerta huyendo de un fuego
216,Muertes,¿De que murió...,Esquilo,Falleció tras caersele en la cabeza el caparazón de tortuga lanzada por un aguila
217,Muertes,¿De que murió...,Cameron Jeffrey Wilson,Se disparó accidentalmente en los testiculos mientras escondía drogas en el ano
218,Muertes,¿De que murió...,Prabhu Bhatara,Taxista indio que murio al intentar hacerse un selfie con un oso herido. Se hizo viral
219,Muertes,¿De que murió...,Robert Overacker,Murio lanzandose en moto de agua por las cataratas del Niagara
220,Muertes,¿De que murió...,Christoph Asniski,"En un pique con 4 colegas por quien tenía más cojones, terminó decapitandose con una motosierra"
221,Muertes,¿De que murió...,Clifford Ray Jones,Tuvo un accidente de coche mientras veía porno y se masturbaba
222,Muertes,¿De que murió...,Michael Gomes,"Adicto a ingerir alcohol por el ano, murió de exceso de alcohol al introducirse 3 litros de vino."
223,Muertes,¿De que murió...,San Lorenzo,"Martir torturado en una parrilla gigante. Le dijo a sus verdugos mientras le asaban: 'Darme la vuelta, ya estoy hecho de este lado'"
224,Muertes,¿De que murió...,Nombre Hawaiano,Fue asesinado a golpes con una Biblia.
225,Muertes,¿De que murió...,Alan Pinkerton,Detective que tropezó con una acera de la calle y se mordió la lengua. Murió por gangrena
226,Muertes,¿De que murió...,Nombre Iraki,Es el único humano que ha muerto por impacto de meteorito. Fue en un pueblo de Irak
227,Muertes,¿De que murió...,Benjamin Taylor Bell,Murió cayendose por el hueco de un ascensor en Canada
228,Muertes,¿De que murió...,Juan Mortensen,Murió ahogado en un charco de 15cm mientras cazaba patos
229,Muertes,¿De que murió...,Franz Reichelt,Murió provando su paracaidas de tela
230,Muertes,¿De que murió...,Thornton Jones,Se autodecapito mientras estaba sonambulo
231,Muertes,¿De que murió...,bobby leach,Se le infectó la pierna despues de resbalar con una cascara de fruta
232,Muertes,¿De que murió...,Thomas Mantell,Piloto americano que murió persiguiendo a un ovni
233,Muertes,¿De que murió...,Albahaca Marrón,Murió despues de tomarse 35 litros de Zumo de Zanahoria
234,Muertes,¿De que murió...,Roberto Williams,"Fue la primera persona del mundo asesinada por un robot, de un puñetazo en la cabeza"
235,Muertes,¿De que murió...,Mónica Myers,Alcaldesa de un pueblo que cayó en un pozo de mierda de 5 metros 
236,Muertes,¿De que murió...,David Grundman,Le mató un cactus en Arizona
237,Muertes,¿De que murió...,Jimmy Ferrozzo,Murió asfixiado teniendo relaciones sexuales sobre un piano
238,Muertes,¿De que murió...,Franco Brown,Murió en una carcel intentando tragarse una Biblia de bolsillo.
239,Muertes,¿De que murió...,Edith Sola,Murió atropellada al ver como un caniche mataba a una anciana cayendose de una ventana
240,Muertes,¿De que murió...,Bernd Brandes,"Asesinado por su dominatrix, despues de que esta le cortase el pene y se lo diera de comer."
241,Muertes,¿De que murió...,Kenneth Pinyan,Murió por las heridas que le provocó tener sexo anal con un caballo
242,Muertes,¿De que murió...,Mildred Bowman y Alice Wardle,Ancianas que quedaron atrapadas dentro de un sofa cama en Benidorm
243,Muertes,¿De que murió...,Leah Johnson,Irlandesa que murio de una reacción alergica tras tener relaciones sexiales con un pastor aleman
244,Muertes,¿De que murió...,Diane Durré        ,Se le cayó un cartel de Taco Bell en la cabeza
245,Muertes,¿De que murió...,Taylor Mitchell,Es la unica persona del mundo asesinada por un coyote
246,Muertes,¿De que murió...,Vladimir Lijonos,Murió cuando le exploto un chicle que había mojado en acido
247,Muertes,¿De que murió...,Jose Luis Ochoa,Fue apuñalado en la pierna por un Gallo
248,Muertes,¿De que murió...,Antonio Hensley,Fue asesinado por un cisne mientras montaba en kayak
249,Muertes,¿De que murió...,James Campbell,Fue atropellado por un perro que conducía su furgoneta
250,Muertes,¿De que murió...,Juan María de Souza,Fue aplastado por una vaca que atravesó su tejado
251,Muertes,¿De que murió...,J.R.N.,"Borracho en una granja, Intentó tener sexo con una cerda que le mutilo los genitales y la cara"
252,Muertes,¿De que murió...,Fan Peng,Chef chino al que le mordió una cobra que llevaba 20 minutos decapitada y que iba a empezar a cocinar
253,Muertes,¿De que murió...,Esteban Whinfrey,Murió asfixiado cuando se le atascó la cabeza dentro de una madriguera de conejos
254,Muertes,¿De que murió...,Esteban Woytack,"Estando en un cementerio, fue aplastado por la lapida de su suegra"
255,Muertes,¿De que murió...,Lottie Michelle Belk,Una sombrilla de playa descontrolada le atravesó el pecho en Virginia
256,Muertes,¿De que murió...,Julio Macías González,Se le engangrenó un chupeton en el cuello
257,Muertes,¿De que murió...,Samen Kondorura,Se le cayó el ataud de su madre encima el día de su funeral
258,Muertes,¿De que murió...,Darren Hickey,Murió despues de comer un trozo de pescado demasiado caliente en una boda
259,Muertes,¿De que murió...,El Papa Juan XII,Recibió un martillazo en la cabeza cuando el marido de su amante le pilló follandose a su mujer
260,Muertes,¿De que murió...,Anna Madison,Se electrocuto al ponerse unas pinzas de coche en los pezones mientras tenía sexo
261,Muertes,¿De que murió...,Rumina Klarinsky,Se asfixió cuando se tragó el condon del hombre al que estaba realizando una felación
262,Muertes,¿De que murió...,Hasebul Nehan,"Fue a Ikea con sus padres, se perdió y apareció muerto"
263,Muertes,¿De que murió...,Mad Mike,Murió en un viaje que hizo en un cohete casero para demostrar que la tierra era plana
264,Personajes,¿Quien es...,Antonio 'Diabloanton' González Robles.,Director del equipo de futbol de Indonesia Semen Padang FC
265,Personajes,¿Quien es...,Walter Orthmann,"Con 100 años, obtuvo el record guiness por tabajar durante 84 años en una empresa de fabricación textil"
266,Personajes,¿Quien es...,Daniel Kish,"Es un joven invidente que, para orientarse, chasquea la lengua escuchando como rebota el sonido a su alrededor"
267,Personajes,¿Quien es...,Liew Thow Lin,Lin es capaz de engancharse cualquier objeto metalico a su cuerpo debido al alto nivel de fricción de su piel
268,Personajes,¿Quien es...,Shi Liliang,Monje capaz de correr hasta 125 metros por encima del agua.
269,Personajes,¿Quien es...,Liam Hoekstra,Es el niño más fuerte del mundo. A los diez años podía levantar los muebles de la casa
270,Personajes,¿Quien es...,Roy Sullivan,Un americano que fue alcanzado por rayos 7 veces durante su vida. Una vez uno le cayó teniendo la ropa con su mujer
271,Personajes,¿Quien es...,Costis Mitsotakis,El único habitante de un pueblo griego de 70 personas al que no le tocó la lotería de Navidad
272,Personajes,¿Quien es...,Ivan Lester,"En 1988, salto en paracaidas con el pequeño pobrema de que olvidó abrocharselo"
273,Personajes,¿Quien es...,Vlad Cazacu,Un rumano que provocó una terrible explosión tirandose un eructo en un circo
274,Personajes,¿Quien es...,Ann Hodges,"Echandose una siesta en su sofá en Alabama, le cayó un meteorito en la cadera. "
275,Personajes,¿Quien es...,John Cummings,Se quiso hacer el chulo imitando a un francés que se tragaba cuchilos. Murió
276,Personajes,¿Quien es...,Karl Friedrich Canstatt,Medico aleman que curaba algunos trastornos sosteniendo una pata de paloma contra el ano de un niño.
277,Personajes,¿Quien es...,Claude Martin,Se operó a si mismo de un de un calculo en la vegiga de forma exitosa
278,Personajes,¿Quien es...,Crisipo de Solos,Murio de un ataque de risa tras ver a un burro comerse unos higos
279,Personajes,¿Quien es...,José María García Urbano,Alcalde del PP que construyó el mítico tobogan de Estepona
280,Personajes,¿Quien es...,Shanti Devi,India que a los cuatro años afirmó que sus padres no eran sus padres ya que recordaba perfectamente su vida pasada
281,Personajes,¿Quien es...,Raphael Samuel,Joven que demandó a sus padres por haberle tenido sin su consentimiento
282,Personajes,¿Quien es...,Roberto Arroyo,Joven que pasó tres horas chupando el telefonillo de una casa
283,Personajes,¿Quien es...,Gurbanguly Malikguly Ogly Berdimuhamedov,Presidente de un pais asiático que para desmentir su muerte se puso a derrapar con un coche alrededor de un crater de lava
284,Personajes,¿Quien es...,Maria del Carmen M.G,"Señora de avanzada edad que le corto la cabeza a su marido y se la entrego a su amante, diciendole que era una caja con jugetes sexuales"
285,Personajes,¿Quien es...,Xulio Ferreiro,Politico que se sustituyó en un debate electoral por un monigote de plastico
286,Personajes,¿Quien es...,David Barulia,"Record de tiempo registrado como abogado, con 71 años de profesión. Ganó un caso con 104 años"
287,Personajes,¿Quien es...,Karl Henrich Ulrich,Primera persona en declararse públicamente como homosexual. Fue en un congreso de abogados alemanes
